41,1,37
1,410,54
1,233,176
18,155,178
25,52,109
7,62,39
1,256,6
1,474,106
25,327,6
25,435,36
7,350,28
24,20,8880
25,433,38
281,195,1
7,217,167
25,82,8853
18,227,29
1,31,10841
18,70,758
18,126,6
1,270,77
1,75,23
1,245,22
1,24,228
1,179,20
7,26,25
18,206,75
1,123,9015
40,494,1
18,141,10
7,47,20
1,216,358
24,331,74
24,249,216
1,516,6
1,157,20
18,34,36
1,363,5887
1,57,364
7,346,132
18,447,273
7,79,2430
1,130,348
25,78,9519
18,469,60
18,195,249
7,89,11752
7,154,72
14,315,28
1,372,15
7,225,37
7,87,10830
470,468,1
1,378,37
1,36,1297
24,152,112
1,523,52
1,300,101
1,140,181
14,468,74
18,164,97
1,151,28
7,453,15
25,15,25714
25,419,6
24,67,370
24,146,63
7,234,18
18,87,4821
24,52,107
1,468,74
25,108,12
1,254,132
24,92,15
14,309,3
14,111,9
24,160,49
18,225,24
1,134,40
25,395,9
7,389,208
24,79,29262
25,54,388
40,496,6
14,96,96
7,29,1142
1,401,380
1,400,378
7,231,34
24,304,45
18,73,201
14,28,270
24,26,23
18,351,11
24,91,38
24,206,100
1,415,120
1,194,38
1,320,30
7,215,145
14,455,3
1,528,50
18,72,378
1,518,99
188,276,2
1,521,10
25,155,9
245,257,2
1,65,936
7,155,79
243,14,6
25,172,625
14,8,4029
24,116,22
1,354,58
7,60,577
25,227,30
24,300,180
7,147,123
25,431,23
7,245,138
249,505,2
18,417,18
1,406,200
188,275,1
25,141,46
1,257,3
1,271,162
18,309,18
7,54,450
24,328,6
1,335,944
1,44,4705
1,238,92
241,25,8
18,63,63
1,122,1180
1,190,131
1,20,34476
14,307,56
24,70,796
463,462,3
24,336,49
199,198,4
18,78,2364
14,456,3
24,49,375
24,319,3
25,88,95
24,90,42
24,245,167
1,285,1
1,325,41
18,324,38
25,242,45
1,171,6
7,247,12
14,61,393
1,27,69
1,69,1606
1,129,17
25,8,3907
18,391,156
1,232,90
1,489,29
1,383,321
1,479,53
14,62,22
1,103,147
24,61,606
18,283,209
1,35,1539
1,527,28
18,163,20
1,525,56
1,169,112
24,54,495
14,66,245
14,95,77
18,423,5663
128,1,24
1,347,10
25,64,29
1,424,84
24,301,489
7,304,47
24,147,113
7,121,26
1,470,198
492,497,3
1,323,16
7,469,78
25,34,6
492,504,2
1,104,759
1,458,15
7,92,36
1,260,245
18,320,16
1,379,108
7,52,186
1,302,18
1,210,70
7,282,435
18,151,330
448,23,4
24,298,40
7,206,295
1,181,136
1,409,171
1,138,2594
1,317,70
25,111,9
18,82,20259
1,443,21
7,80,57
7,468,122
188,277,3
14,167,236
24,225,17
25,96,146
25,109,106
1,513,16
1,439,143
18,251,131
24,33,10
24,29,1459
14,314,27
1,390,29
1,465,22
1,167,2227
241,1,10
3,23,8
1,48,675
187,1,400
24,53,23
1,73,143
492,498,1
246,499,1
24,468,158
18,249,204
188,273,1
1,370,2117
24,228,106
24,257,3
14,164,226
1,150,85
1,297,141
451,23,1
1,393,206
24,87,3714
492,380,2
241,14,8
24,89,23893
1,97,1409
204,187,3
203,198,73
1,112,104
1,118,13879
1,427,18
14,377,3
24,234,22
18,306,21
18,234,18
24,121,20
18,336,22
7,49,51
7,301,33
7,8,4459
18,108,15
25,301,122
1,429,29
14,183,29
18,97,77
1,220,804
25,29,1540
14,43,1880
18,328,3
18,1,96
14,249,168
1,399,378
1,249,300
18,49,330
18,420,155
1,389,563
7,107,36
7,20,8637
1,45,760
452,23,1
14,76,32
14,321,17
1,387,25
1,486,3
24,242,18
25,43,2112
24,247,48
24,109,121
1,480,9
1,261,89
18,201,126
18,69,2435
24,83,3063
1,342,100
7,289,3
1,476,17
25,1,72
202,198,6
24,159,155
14,308,23
1,365,79
249,491,1
18,339,54
25,147,100
1,397,25
25,87,1509
14,3,50
279,243,4
1,488,990
18,15,26006
18,314,57
7,81,6859
24,312,20
1,280,136
1,362,2440
24,313,48
18,167,69
24,23,5372
24,396,60
1,374,172
1,228,273
1,59,418
1,144,200
14,228,198
24,318,24
1,224,17
24,60,1675
25,389,172
14,151,221
1,381,3
24,288,22
14,166,143
7,291,22
24,96,101
14,65,80
18,146,60
24,88,37211
1,191,58
24,340,39
1,3,126623
18,147,138
25,164,145
24,321,21
1,524,15
18,152,37
24,69,2718
1,173,27
25,20,8807
24,125,40
14,206,178
24,36,29
14,313,18
14,395,9
24,341,97
25,195,210
1,312,65
1,239,129
1,5,1
7,348,400
1,180,185
25,263,51
7,167,94
14,45,927
18,247,57
24,389,487
24,445,3
18,375,18
25,183,32
24,15,25944
7,308,21
1,6,40
1,184,962
14,63,215
18,154,72
1,49,456
1,263,2133
24,97,513
1,237,23
1,438,15
18,45,294
1,55,1688
1,154,84
1,183,278
14,1,84
7,216,38
1,155,1766
25,161,47
18,19,1626
14,257,3
1,12,36
25,394,16
18,305,47
25,77,80
18,8,5063
25,60,819
24,77,3077
14,97,78
7,110,19
1,483,11
1,364,14
1,153,151
1,255,6
1,434,1270
18,88,21231
1,206,786
7,303,24
1,132,3
1,16,16
7,53,19
1,356,497
1,135,174
243,24,6
1,133,409
1,145,443
1,484,35
18,61,468
25,63,210
1,208,242
7,183,3
24,93,18
18,57,38
1,314,9
1,265,70
1,56,439
1,113,6131
14,48,195
